Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B,sheet_name,data
ARTRA1,ARTERIS S/A (*) (**),11/03/2027,"DI + 1,65%",1.546,1.3,1.4052,0.0776,1.3276,1.4829,1008.741848,100.3164,330.37,,,DI_SPREAD,20240927
ARTRA4,ARTERIS S/A (*),24/08/2028,"DI + 2,7%",2.1641,1.8491,2.0429,0.1962,1.8467,2.2392,1027.785198,101.5511,605.14,,,DI_SPREAD,20240927
ARTRA5,ARTERIS S/A (*),12/04/2029,"DI + 2,4%",2.2587,1.9582,2.1131,0.182,1.9311,2.2953,1067.364495,100.7571,678.04,0.05,,DI_SPREAD,20240927
ASAI12,SENDAS DISTRIBUIDORA S/A (*) (**),20/05/2026,"DI + 1,7%",1.2,0.95,1.078,0.0168,1.0612,1.0949,1050.600022,100.6594,10,,,DI_SPREAD,20240927
ASAI14,SENDAS DISTRIBUIDORA S/A (*),26/11/2027,"DI + 1,75%",1.2306,0.9554,1.0921,0.0529,1.0392,1.1451,1056.515238,101.4416,556.65,0.1,,DI_SPREAD,20240927
ASAI18,SENDAS DISTRIBUIDORA S/A (*),22/12/2027,"DI + 1,85%",--,--,1.3695,0.1474,1.222,1.517,1045.552526,101.2458,660.36,,,DI_SPREAD,20240927
ASAI19,SENDAS DISTRIBUIDORA S/A (*),25/03/2029,"DI + 1,25%",1.4625,1.1753,1.3153,0.1539,1.1613,1.4693,998.843305,99.7943,804.71,,,DI_SPREAD,20240927
ASAI22,SENDAS DISTRIBUIDORA S/A (*),20/05/2028,"DI + 1,95%",1.3732,1.1101,1.2406,0.0235,1.217,1.2642,1063.180659,101.7725,635.06,,,DI_SPREAD,20240927
ASAI28,SENDAS DISTRIBUIDORA S/A (*),22/12/2028,"DI + 1,95%",1.5556,1.1681,1.3667,0.0172,1.3495,1.384,1052.231634,101.8652,813.01,,,DI_SPREAD,20240927
ASAIA0,SENDAS DISTRIBUIDORA S/A (*),20/06/2029,"DI + 1,25%",1.4111,1.113,1.26,0.016,1.2441,1.2761,1030.232136,99.968,816.92,0.15,,DI_SPREAD,20240927
BCBF15,BCBF PARTICIPAÇÕES S/A (*) (**),04/11/2025,"DI + 2,65%",2.1319,1.7268,1.9608,0.0717,1.8892,2.0326,704.327489,100.3749,140.16,,,DI_SPREAD,20240927
BCBF16,BCBF PARTICIPAÇÕES S/A (*) (**),07/10/2027,"DI + 1,45%",0.885,0.6755,0.7904,0.0632,0.7272,0.8537,1068.481751,101.118,430.19,0.05,,DI_SPREAD,20240927
BCPSA3,CLARO S/A,27/01/2026,"DI + 1,35%",--,--,1.0176,0.2207,0.7969,1.2384,1024.024089,100.4078,312.19,,,DI_SPREAD,20240927
BCPSA4,CLARO S/A,20/02/2027,"DI + 1,2%",1.3102,0.9904,1.1504,0.0297,1.1207,1.1802,1013.489354,100.1027,527.67,,,DI_SPREAD,20240927
BKBR18,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A,15/10/2024,"DI + 1,35%",--,--,1.8605,0.0613,1.7992,1.9218,1053.5127,99.9761,12,,,DI_SPREAD,20240927
BKBR19,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A (*) (**),24/04/2027,"DI + 1,9%",2.427,2.05,2.234,0.0459,2.1882,2.28,1046.880408,99.4283,441.29,0.05,,DI_SPREAD,20240927
BRIT11,BRISANET PARTICIPACOES S.A.,25/08/2027,DI + 2%,1.0742,0.7694,0.9424,0.0405,0.9019,0.983,1029.291632,101.7662,424.21,,,DI_SPREAD,20240927
BRIT12,BRISANET PARTICIPACOES S.A. (*),10/07/2030,"DI + 1,6%",1.4123,1.1285,1.3067,0.0906,1.2161,1.3975,1035.500034,101.028,892.51,,,DI_SPREAD,20240927
BRKMA6,BRASKEM S/A (*),12/05/2029,"DI + 1,75%",2.674,2.3672,2.5039,0.1007,2.4032,2.6047,1020.526252,97.535,849.72,,,DI_SPREAD,20240927
BRKMA8,BRASKEM S/A (*),09/11/2029,"DI + 1,7%",2.6576,2.3801,2.4895,0.067,2.4225,2.5566,1018.053136,97.2278,913.05,0.1,,DI_SPREAD,20240927
BRKMB6,BRASKEM S/A (*),12/05/2032,DI + 2%,2.6108,1.2081,1.8465,0.3304,1.5161,2.1769,1054.083289,100.646,1078.6,,,DI_SPREAD,20240927
BRKMB8,BRASKEM S/A (*),09/11/2032,"DI + 1,95%",2.8245,2.4919,2.6856,0.2297,2.4559,2.9154,1015.106328,96.852,1115.04,,,DI_SPREAD,20240927
BRKPA0,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),15/04/2027,"DI + 2,4%",2.5682,2.2754,2.4274,0.0444,2.3831,2.4719,1058.229853,99.9443,524.63,0.1,,DI_SPREAD,20240927
BRKPA1,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),06/03/2028,"DI + 3,4%",2.6896,2.4466,2.5506,0.0411,2.5095,2.5918,1031.170528,102.3022,696.42,0.35,,DI_SPREAD,20240927
BRKPA2,BRK AMBIENTAL PARTICIPACOES S/A (*),21/02/2029,"DI + 3,25%",2.9674,2.6178,2.8248,0.0726,2.7522,2.8975,1028.060479,101.3685,831.07,,,DI_SPREAD,20240927
BRKPA3,BRK AMBIENTAL PARTICIPACOES S/A (*),23/08/2029,"DI + 2,93%",3.051,2.6668,2.85,0,2.85,2.85,1014.610297,100.2789,902.76,,,DI_SPREAD,20240927
